Game,Draw,Ball 1,Ball 2,Ball 3,Ball 4,,,
Pick 4 Plus,4/29/2024 DAY,1,7,2,0,,,
Pick 4 Plus,4/29/2024 EVE,1,2,2,6,,,
Pick 4 Plus,4/28/2024 DAY,1,6,5,3,,,
Pick 4 Plus,4/28/2024 EVE,6,6,5,7,,,
Pick 4 Plus,4/27/2024 DAY,2,3,6,8,,,
Pick 4 Plus,4/27/2024 EVE,0,6,6,8,,,
Pick 4 Plus,4/26/2024 DAY,4,7,0,6,,,
Pick 4 Plus,4/26/2024 EVE,7,0,3,2,,,
Pick 4 Plus,4/25/2024 DAY,0,6,6,1,,,
Pick 4 Plus,4/25/2024 EVE,2,0,0,1,,,
Pick 4 Plus,4/24/2024 DAY,8,7,1,8,,,
Pick 4 Plus,4/24/2024 EVE,5,7,8,4,,,
Pick 4 Plus,4/23/2024 DAY,9,2,8,0,,,
Pick 4 Plus,4/23/2024 EVE,1,3,4,3,,,
Pick 4 Plus,4/22/2024 DAY,6,2,8,7,,,
Pick 4 Plus,4/22/2024 EVE,0,5,6,7,,,
Pick 4 Plus,4/21/2024 DAY,6,9,2,6,,,
Pick 4 Plus,4/21/2024 EVE,8,8,8,8,,,
Pick 4 Plus,4/20/2024 DAY,2,9,7,6,,,
Pick 4 Plus,4/20/2024 EVE,3,8,8,0,,,
Pick 4 Plus,4/19/2024 DAY,2,4,1,1,,,
Pick 4 Plus,4/19/2024 EVE,2,0,6,5,,,
Pick 4 Plus,4/18/2024 DAY,8,7,9,6,,,
Pick 4 Plus,4/18/2024 EVE,5,4,3,7,,,
Pick 4 Plus,4/17/2024 DAY,4,5,2,4,,,
Pick 4 Plus,4/17/2024 EVE,8,4,8,0,,,
Pick 4 Plus,4/16/2024 DAY,4,6,2,9,,,
Pick 4 Plus,4/16/2024 EVE,4,1,7,9,,,
Pick 4 Plus,4/15/2024 DAY,3,1,7,0,,,
Pick 4 Plus,4/15/2024 EVE,9,9,4,6,,,
Pick 4 Plus,4/14/2024 DAY,7,9,9,5,,,
Pick 4 Plus,4/14/2024 EVE,8,0,2,3,,,
Pick 4 Plus,4/13/2024 DAY,8,0,6,1,,,
Pick 4 Plus,4/13/2024 EVE,7,5,7,8,,,
Pick 4 Plus,4/12/2024 DAY,7,9,6,5,,,
Pick 4 Plus,4/12/2024 EVE,7,6,1,8,,,
Pick 4 Plus,4/11/2024 DAY,2,1,1,2,,,
Pick 4 Plus,4/11/2024 EVE,2,5,6,8,,,
Pick 4 Plus,4/10/2024 DAY,8,2,0,2,,,
Pick 4 Plus,4/10/2024 EVE,3,8,1,3,,,
Pick 4 Plus,4/9/2024 DAY,5,0,8,6,,,
Pick 4 Plus,4/9/2024 EVE,2,8,7,5,,,
Pick 4 Plus,4/8/2024 DAY,6,9,1,8,,,
Pick 4 Plus,4/8/2024 EVE,4,8,8,8,,,
Pick 4 Plus,4/7/2024 DAY,6,8,4,2,,,
